Year,Ranking Category,Ranking Sub-Category,Rank,State
2020,Adult Data,Adult Ranking,01,Hawaii
2020,Adult Data,Adult Ranking,02,Iowa
2020,Adult Data,Adult Ranking,03,Minnesota
2020,Adult Data,Adult Ranking,04,New York
2020,Adult Data,Adult Ranking,05,Maryland
2020,Adult Data,Adult Ranking,06,Michigan
2020,Adult Data,Adult Ranking,07,New Jersey
2020,Adult Data,Adult Ranking,08,Delaware
2020,Adult Data,Adult Ranking,09,Pennsylvania
2020,Adult Data,Adult Ranking,10,Connecticut
2020,Adult Data,Adult Ranking,11,Illinois
2020,Adult Data,Adult Ranking,12,Vermont
2020,Adult Data,Adult Ranking,13,Ohio
2020,Adult Data,Adult Ranking,14,Nebraska
2020,Adult Data,Adult Ranking,15,Rhode Island
2020,Adult Data,Adult Ranking,16,California
2020,Adult Data,Adult Ranking,17,Maine
2020,Adult Data,Adult Ranking,18,Arizona
2020,Adult Data,Adult Ranking,19,Wisconsin
2020,Adult Data,Adult Ranking,20,West Virginia
2020,Adult Data,Adult Ranking,21,North Carolina
2020,Adult Data,Adult Ranking,22,New Mexico
2020,Adult Data,Adult Ranking,23,Massachusetts
2020,Adult Data,Adult Ranking,24,Florida
2020,Adult Data,Adult Ranking,25,Alabama
2020,Adult Data,Adult Ranking,26,North Dakota
2020,Adult Data,Adult Ranking,27,New Hampshire
2020,Adult Data,Adult Ranking,28,Tennessee
2020,Adult Data,Adult Ranking,29,Mississippi
2020,Adult Data,Adult Ranking,30,Texas
2020,Adult Data,Adult Ranking,31,Missouri
2020,Adult Data,Adult Ranking,32,Kentucky
2020,Adult Data,Adult Ranking,33,Colorado
2020,Adult Data,Adult Ranking,34,South Dakota
2020,Adult Data,Adult Ranking,35,South Carolina
2020,Adult Data,Adult Ranking,36,Arkansas
2020,Adult Data,Adult Ranking,37,Indiana
2020,Adult Data,Adult Ranking,38,Oklahoma
2020,Adult Data,Adult Ranking,39,Montana
2020,Adult Data,Adult Ranking,40,Georgia
2020,Adult Data,Adult Ranking,41,District of Columbia
2020,Adult Data,Adult Ranking,42,Virginia
2020,Adult Data,Adult Ranking,43,Kansas
2020,Adult Data,Adult Ranking,44,Alaska
2020,Adult Data,Adult Ranking,45,Louisiana
2020,Adult Data,Adult Ranking,46,Washington
2020,Adult Data,Adult Ranking,47,Nevada
2020,Adult Data,Adult Ranking,48,Wyoming
2020,Adult Data,Adult Ranking,49,Idaho
2020,Adult Data,Adult Ranking,50,Utah
2020,Adult Data,Adult Ranking,51,Oregon
