Ranking Category,Ranking Sub-Category,Rank,State,Percentage,Number
Youth Data,Did Not Receive Mental Health Services,01,Maryland,53.90%,"23,000"
Youth Data,Did Not Receive Mental Health Services,02,Rhode Island,48.30%,"3,000"
Youth Data,Did Not Receive Mental Health Services,03,Wisconsin,47.60%,"22,000"
Youth Data,Did Not Receive Mental Health Services,04,Massachusetts,46.00%,"22,000"
Youth Data,Did Not Receive Mental Health Services,05,Maine,41.30%,"4,000"
Youth Data,Did Not Receive Mental Health Services,06,New Hampshire,39.70%,"3,000"
Youth Data,Did Not Receive Mental Health Services,07,District of Columbia,38.10%,"1,000"
Youth Data,Did Not Receive Mental Health Services,08,Ohio,37.10%,"32,000"
Youth Data,Did Not Receive Mental Health Services,09,Missouri,36.70%,"19,000"
Youth Data,Did Not Receive Mental Health Services,10,Iowa,36.60%,"6,000"
Youth Data,Did Not Receive Mental Health Services,11,Idaho,36.00%,"6,000"
Youth Data,Did Not Receive Mental Health Services,12,North Dakota,35.90%,"1,000"
Youth Data,Did Not Receive Mental Health Services,13,Arkansas,35.40%,"7,000"
Youth Data,Did Not Receive Mental Health Services,14,Connecticut,35.40%,"9,000"
Youth Data,Did Not Receive Mental Health Services,15,Louisiana,34.20%,"9,000"
Youth Data,Did Not Receive Mental Health Services,16,Arizona,33.20%,"14,000"
Youth Data,Did Not Receive Mental Health Services,17,New Mexico,32.60%,"5,000"
Youth Data,Did Not Receive Mental Health Services,18,Pennsylvania,32.30%,"23,000"
Youth Data,Did Not Receive Mental Health Services,19,Alaska,31.40%,"2,000"
Youth Data,Did Not Receive Mental Health Services,20,New Jersey,30.40%,"13,000"
Youth Data,Did Not Receive Mental Health Services,21,Michigan,29.20%,"19,000"
Youth Data,Did Not Receive Mental Health Services,22,Oregon,29.20%,"10,000"
Youth Data,Did Not Receive Mental Health Services,23,Hawaii,29.00%,"2,000"
Youth Data,Did Not Receive Mental Health Services,24,South Dakota,28.80%,"1,000"
Youth Data,Did Not Receive Mental Health Services,25,Virginia,28.30%,"15,000"
Youth Data,Did Not Receive Mental Health Services,26,Indiana,27.80%,"14,000"
Youth Data,Did Not Receive Mental Health Services,27,California,27.50%,"68,000"
Youth Data,Did Not Receive Mental Health Services,28,West Virginia,27.50%,"4,000"
Youth Data,Did Not Receive Mental Health Services,29,Illinois,27.40%,"26,000"
Youth Data,Did Not Receive Mental Health Services,30,Kentucky,27.20%,"5,000"
Youth Data,Did Not Receive Mental Health Services,31,New York,27.20%,"26,000"
Youth Data,Did Not Receive Mental Health Services,32,Delaware,27.00%,"1,000"
Youth Data,Did Not Receive Mental Health Services,33,Colorado,25.60%,"8,000"
Youth Data,Did Not Receive Mental Health Services,34,Vermont,25.50%,"1,000"
Youth Data,Did Not Receive Mental Health Services,35,Utah,25.10%,"8,000"
Youth Data,Did Not Receive Mental Health Services,36,Minnesota,24.80%,"10,000"
Youth Data,Did Not Receive Mental Health Services,37,Montana,24.70%,"2,000"
Youth Data,Did Not Receive Mental Health Services,38,Tennessee,23.80%,"11,000"
Youth Data,Did Not Receive Mental Health Services,39,Florida,23.60%,"31,000"
Youth Data,Did Not Receive Mental Health Services,40,Texas,23.50%,"48,000"
Youth Data,Did Not Receive Mental Health Services,41,Oklahoma,22.70%,"6,000"
Youth Data,Did Not Receive Mental Health Services,42,Alabama,21.20%,"6,000"
Youth Data,Did Not Receive Mental Health Services,43,Nebraska,20.70%,"2,000"
Youth Data,Did Not Receive Mental Health Services,44,Kansas,20.10%,"3,000"
Youth Data,Did Not Receive Mental Health Services,45,Georgia,20.00%,"13,000"
Youth Data,Did Not Receive Mental Health Services,46,Nevada,18.00%,"5,000"
Youth Data,Did Not Receive Mental Health Services,47,Mississippi,17.70%,"2,000"
Youth Data,Did Not Receive Mental Health Services,48,North Carolina,17.00%,"12,000"
Youth Data,Did Not Receive Mental Health Services,49,Wyoming,16.40%,"1,000"
Youth Data,Did Not Receive Mental Health Services,50,Washington,15.80%,"8,000"
Youth Data,Did Not Receive Mental Health Services,51,South Carolina,13.50%,"4,000"
,,,National,28.20%,"599,000"
